"LGC","10","610.000","0","0","10","610.000","7.735.505","44.99%"
"S4A","0","0","0","0","0","0","20.664.520","0.03%"
"RIC","0","0","0","0","0","0","4.727.528","32.53%"
"SHP","0","0","0","0","0","0","41.241.654","4.99%"
"SAV","0","0","0","0","0","0","590.436","44.96%"
"REE","0","0","0","0","0","0","","49.00%"
"VPH","0","0","0","0","0","0","35.598.466","11.67%"
"VNE","0","0","0","0","0","0","39.206.295","5.65%"
"ABT","0","0","0","0","0","0","6.556.648","2.52%"
"VPD","0","0","0","0","0","0","52.186.858","0.04%"
"SBA","0","0","0","0","0","0","29.614.987","0.04%"
"ADS","0","0","0","0","0","0","13.731.818","0.08%"
"VMD","0","0","0","0","0","0","7.304.720","1.69%"
"VIS","0","0","0","0","0","0","19.215.769","73.97%"
"SGR","0","0","0","0","0","0","29.392.315","0.01%"
"SFC","0","0","0","0","0","0","5.447.653","0.75%"
"SCD","0","0","0","0","0","0","3.511.500","7.69%"
"SC5","0","0","0","0","0","0","6.683.280","4.40%"
"SHA","0","0","0","0","0","0","14.567.964","0.98%"
"BTP","0","0","0","0","0","0","23.785.384","9.68%"
"QBS","0","0","0","0","0","0","","49.00%"
"PME","0","0","0","0","0","0","22.460.025","70.06%"
"AAM","0","0","0","0","0","0","5.927.765","0.99%"
"DRL","0","0","0","0","0","0","4.559.850","1.00%"
"PNJ","150.000","11.910.000.000","150.000","11.910.000.000","0","0","100","49.00%"
"PNC","0","0","0","0","0","0","5.318.620","0.83%"
"YBM","0","0","0","0","0","0","6.900.724","0.74%"
"TN1","0","0","0","0","0","0","10.469.581","0.09%"
"VSI","0","0","0","0","0","0","6.395.470","0.55%"
"PIT","0","0","0","0","0","0","7.337.804","0.72%"
"PHC","0","0","0","0","0","0","12.607.269","0.04%"
"CCI","0","0","0","0","0","0","8.265.573","2.42%"
"PXI","0","0","0","0","0","0","14.575.620","0.41%"
"VPS","0","0","0","0","0","0","11.812.490","0.71%"
"VPI","0","0","0","0","0","0","93.187.723","2.41%"
"PXT","0","0","0","0","0","0","9.617.500","0.91%"
"PXS","0","0","0","0","0","0","22.897.342","10.84%"
"PSH","0","0","0","0","0","0","61.837.722",""
"ABS","0","0","0","0","0","0","14.103.240","0.03%"
"VRC","0","0","0","0","0","0","23.492.684","2.01%"
"PTC","0","0","0","0","0","0","8.767.055","0.29%"
"C47","0","0","0","0","0","0","8.331.363","0.05%"
"TS4","0","0","0","0","0","0","7.677.482","1.49%"
"TDG","0","0","0","0","0","0","8.005.041","1.27%"
"TDP","0","0","0","0","0","0","23.499.229","0.04%"
"TEG","0","0","0","0","0","0","15.733.313","0.42%"
"TDW","0","0","0","0","0","0","3.940.510","2.64%"
"TCO","0","0","0","0","0","0","8.734.918","2.32%"
"TCD","0","0","0","0","0","0","16.177.445","14.79%"
"ASG","0","0","0","0","0","0","18.433.219","0.76%"
"TTB","0","0","0","0","0","0","22.883.554","0.13%"
"TTE","0","0","0","0","0","0","14.529.634","0.00%"
"BBC","0","0","0","0","0","0","353.277","46.71%"
"TPC","0","0","0","0","0","0","11.570.256","1.64%"
"TRA","0","0","0","0","0","0","2.414.864","43.17%"
