TLG,3002.9,38.60,56320,9.50 %,0.47
HDB,28274.8,22.25,3316850,9.46 %,0.67
HVX,134.8,3.50,10,9.37 %,0.01
GEG,4637.1,17.10,665770,9.27 %,0.73
PPC,7927.5,24.30,424450,9.21 %,1.63
PVT,3729.1,13.25,3321450,9.12 %,1.04
TVS,1081.5,12.00,38920,9.09 %,1.77
PHC,274.1,10.65,238550,9.01 %,1.04
SFG,353.5,7.38,1110,9.01 %,0.02
QBS,159.5,2.30,172630,9.00 %,1.50
BRC,138.6,11.20,1180,8.74 %,0.70
DCL,1136.7,20.00,37560,8.70 %,0.66
TSC,445.9,3.02,1012650,8.63 %,1.31
PLX,68575.5,53.00,1131390,8.50 %,1.38
PNJ,17437.7,77.40,1089180,8.47 %,1.07
FUE,209.4,14.75,36590,8.46 %,0.61
PME,5850.9,78.00,40660,8.18 %,1.86
LGL,252.3,4.76,39020,8.18 %,0.53
CLL,1040.4,30.60,760,8.13 %,0.39
ASP,219.9,5.89,41610,8.07 %,0.74
GMC,528.1,17.60,5050,7.98 %,0.17
LDG,1633.4,6.80,3581820,7.94 %,0.69
AST,2511,55.80,96820,7.93 %,0.82
VRE,66604.2,28.60,4662730,7.92 %,0.89
BVH,42683.6,57.50,1161870,7.88 %,1.22
TYA,88.6,14.45,49150,7.84 %,1.62
FPT,44687.3,57.00,1750270,7.55 %,0.78
C32,375.8,25.00,206790,7.40 %,1.14
VJC,66184.9,122.20,721710,7.38 %,1.23
BIC,2392.4,20.40,107370,7.37 %,1.14
FMC,1750.9,35.70,529010,7.21 %,1.15
DRH,444.7,7.29,789810,7.21 %,0.60
OPC,1568.1,59.00,4060,7.17 %,1.89
CMX,415.1,15.70,281570,7.17 %,0.54
FTS,1798.8,13.60,650530,7.09 %,1.51
SPM,184.8,13.20,4760,6.88 %,0.83
GTN,6412.5,25.65,2684680,6.87 %,1.36
GEX,10155.5,20.80,5714950,6.67 %,0.71
DRC,2583.7,21.75,1920860,6.62 %,1.46
HRC,1366.8,45.25,60,6.60 %,0.08
ITC,1227.8,15.40,3890,6.57 %,0.30
TNC,596.8,31.00,20,6.53 %,0.01
SHI,800,8.75,665280,6.45 %,1.05
VTO,595,7.45,5660,6.43 %,0.27
TMS,2365.5,33.40,202530,6.37 %,2.27
MHC,236.4,5.71,74270,6.13 %,0.70
DPG,1336.5,29.70,505340,6.07 %,0.79
ANV,2818.6,22.10,341890,6.04 %,0.98
VCF,6161,231.80,210,5.94 %,0.52
SJF,169.5,2.14,1535540,5.94 %,1.28
LCM,17.7,0.72,47300,5.88 %,1.55
MWG,39497.8,114.30,813340,5.83 %,0.71
HAG,4386.9,4.73,3993570,5.82 %,0.45
PC1,3441.4,21.60,227170,5.80 %,0.59
YBM,73.2,5.12,15970,5.79 %,0.47
DGC,6338.8,49.00,800160,5.72 %,0.89
PGD,2520,28.00,9430,5.66 %,2.37
CCL,366.7,7.72,251950,5.46 %,0.99
HII,496.4,15.50,251470,5.44 %,1.10
PNC,96.6,8.75,1240,5.42 %,1.42
HID,149.3,2.54,146300,5.39 %,1.40
VTB,129.4,10.80,20840,5.37 %,0.50
VCI,7220.2,43.60,801940,5.31 %,0.77
TDG,40.1,2.39,909740,5.29 %,1.50
PAC,1257.1,27.05,6450,5.27 %,0.24
KDC,9855.5,38.40,435710,5.21 %,0.68
MCP,428,28.40,60,5.19 %,0.05
DBT,196.2,14.50,36400,5.07 %,3.95
GDT,664.1,38.75,12650,5.01 %,0.78
SCS,6278.8,126.00,50740,4.91 %,1.75
IMP,3728.8,55.90,121050,4.88 %,1.10
ITD,149.6,9.35,17330,4.77 %,0.12
LM8,103.3,11.00,710,4.76 %,0.25
TIX,876,29.20,10,4.75 %,0.02
VNM,235329,112.60,2297940,4.74 %,1.03
NLG,8387,29.40,999170,4.63 %,1.06
DLG,410.1,1.37,1973130,4.58 %,0.75
TCO,196.5,10.50,60,4.48 %,0.07
PMG,550.2,13.05,5850,4.40 %,0.91
RAL,1541,134.00,25530,4.28 %,2.52
VPH,419.6,4.40,86850,4.27 %,1.33
CMV,177.9,14.70,0,4.26 %,0
DQC,549.8,16.00,32080,4.23 %,0.49
ADS,277.9,9.90,9910,4.21 %,0.78
PDN,1474.3,79.60,0,4.19 %,0
PHR,8400.9,62.00,1117960,4.17 %,0.95
DMC,1930.8,55.60,53300,4.12 %,0.75
HTL,198.6,16.55,1390,4.09 %,0.47
