"TIX","865.5","28.85","0","-6.94 %","-"
"VPS","309.4","12.65","2870","-6.99 %","0.33"
"LDG","1585.4","6.60","3869790","-7.04 %","0.86"
"GEG","3089","15.15","396490","-7.06 %","0.93"
"S4A","1160.5","27.50","2000","-7.09 %","2.46"
"VSI","229","17.35","150","-7.22 %","0.03"
"SZL","942","47.10","15840","-7.28 %","0.40"
"FUC","25.8","5.15","0","-7.37 %","-"
"TS4","57.9","3.58","28870","-7.49 %","1.58"
"FRT","1848.2","23.40","323350","-7.51 %","0.56"
"TTB","253.8","5.42","364560","-7.51 %","0.48"
"FTS","1679.8","12.70","180260","-7.64 %","0.57"
"VPG","439.2","12.55","400060","-7.72 %","0.38"
"LHG","1275.3","25.50","182780","-7.94 %","0.71"
"TMT","187.4","4.82","7220","-8.02 %","1.02"
"YEG","1409.2","45.05","13680","-8.06 %","0.68"
"MCG","97.2","1.69","170","-8.15 %","0.03"
"KHP","336.2","5.84","26280","-8.18 %","0.79"
"CNG","541.4","20.05","39690","-8.24 %","0.73"
"PLP","282.4","7.06","890300","-8.31 %","1.97"
"PXT","28.6","1.43","19530","-8.33 %","0.32"
"DMC","1851","53.30","80800","-8.66 %","0.59"
"L10","135","13.65","0","-8.70 %","-"
"VPH","401.5","4.21","47170","-8.87 %","0.45"
"ABS","309.6","10.75","107860","-8.90 %","0.47"
"HAS","61.5","7.69","1970","-8.99 %","0.23"
"TEG","149","4.60","15750","-9.09 %","0.61"
"SSC","739.9","49.35","10","-9.45 %","0.10"
"NHH","1756.4","51.00","126370","-9.73 %","0.74"
"FMC","1535.1","31.30","192090","-9.80 %","0.49"
"DBC","4373.9","41.75","972440","-9.92 %","0.40"
"SZC","2410","24.10","613590","-10.24 %","0.53"
"SJF","169.5","2.14","861660","-10.46 %","0.59"
"CTI","825.3","13.10","184420","-11.19 %","0.32"
"PXI","111","3.70","9660","-11.27 %","0.25"
"C47","149.3","8.77","458740","-11.41 %","2.60"
"SAM","2472.7","9.64","122250","-11.56 %","1.13"
"VAF","366.1","9.72","10","-11.64 %","0.13"
"ACL","674.6","13.45","108580","-12.09 %","0.71"
"JVC","744.4","4.47","435330","-12.18 %","0.56"
"CCI","248.4","14.00","14130","-12.23 %","3.33"
"AGM","221.1","12.15","11730","-12.27 %","0.29"
"HCD","69.4","2.57","322550","-13.47 %","0.73"
"SMA","174.4","9.17","13020","-13.49 %","4.37"
"CMX","388.7","14.70","196390","-13.53 %","0.28"
"DTA","70.8","3.92","8380","-14.04 %","0.23"
"TAC","1277.3","37.70","10300","-14.32 %","0.34"
"VRC","330.5","6.61","83360","-14.60 %","0.66"
"GEX","10375.2","21.25","8677650","-15.00 %","1.37"
"DAT","1518.2","33.00","4870","-15.38 %","1.38"
"SGR","906.2","19.90","18760","-16.74 %","0.72"
"VNE","435.9","4.82","49200","-17.18 %","0.69"
"MHC","241.4","5.83","56890","-17.66 %","0.18"
"MCP","420.5","27.90","10","-19.13 %","0.07"
"HRC","1178.1","39.00","120","-20.89 %","0.12"
"CTD","4509.6","56.90","1125860","-22.16 %","0.75"
"DTL","430","7.00","0","-22.22 %","-"
"TTA","2052","15.20","523070","-31.07 %","0.35"
"TLD","189.1","10.10","1216100","-37.85 %","1.04"
